ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item description,Item category,Price,Sale price,Contextual keywords,Item address,Tracking template,Custom parameter,Final mobile URL
65F9E9,,Brinco Tassel De Seda,http://www.ddivas.com.br/pd-65f9e9-brinco-tassel-de-seda.html,http://s3.amazonaws.com/img.iluria.com/product/65F9E9/FB3B0C/450xN.jpg,,Brinco Tassel De Seda,Brinco,35.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65f9e9-brinco-tassel-de-seda.html
65F9E9,,Brinco Tassel De Seda,http://www.ddivas.com.br/pd-65f9e9-brinco-tassel-de-seda.html,http://s3.amazonaws.com/img.iluria.com/product/65F9E9/FB3B0C/450xN.jpg,,Brinco Tassel De Seda,Brinco,35.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65f9e9-brinco-tassel-de-seda.html
65F9E9,,Brinco Tassel De Seda,http://www.ddivas.com.br/pd-65f9e9-brinco-tassel-de-seda.html,http://s3.amazonaws.com/img.iluria.com/product/65F9E9/FB3B0C/450xN.jpg,,Brinco Tassel De Seda,Brinco,35.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65f9e9-brinco-tassel-de-seda.html
65F9E9,,Brinco Tassel De Seda,http://www.ddivas.com.br/pd-65f9e9-brinco-tassel-de-seda.html,http://s3.amazonaws.com/img.iluria.com/product/65F9E9/FB3B0C/450xN.jpg,,Brinco Tassel De Seda,Brinco,35.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65f9e9-brinco-tassel-de-seda.html
65F9FF,,Brinco Tie Dye,http://www.ddivas.com.br/pd-65f9ff-brinco-tie-dye.html,http://s3.amazonaws.com/img.iluria.com/product/65F9FF/FB3B77/450xN.jpg,,Brinco Tie Dye,Brinco,32.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65f9ff-brinco-tie-dye.html
65F9FF,,Brinco Tie Dye,http://www.ddivas.com.br/pd-65f9ff-brinco-tie-dye.html,http://s3.amazonaws.com/img.iluria.com/product/65F9FF/FB3B77/450xN.jpg,,Brinco Tie Dye,Brinco,32.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65f9ff-brinco-tie-dye.html
65FA20,,Brinco Tulum,http://www.ddivas.com.br/pd-65fa20-brinco-tulum.html,http://s3.amazonaws.com/img.iluria.com/product/65FA20/FB3BA6/450xN.jpg,,Brinco Tulum,Brinco,39.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-65fa20-brinco-tulum.html
6604BE,,Brinco Lua Cheia,http://www.ddivas.com.br/pd-6604be-brinco-lua-cheia.html,http://s3.amazonaws.com/img.iluria.com/product/6604BE/FB5738/450xN.jpg,,Brinco Lua Cheia,Brinco,29.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-6604be-brinco-lua-cheia.html
6604C7,,Brinco Diva,http://www.ddivas.com.br/pd-6604c7-brinco-diva.html,http://s3.amazonaws.com/img.iluria.com/product/6604C7/FB5754/450xN.jpg,,Brinco Diva,Brinco,29.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-6604c7-brinco-diva.html
6604F2,,Brinco Costela De Adão,http://www.ddivas.com.br/pd-6604f2-brinco-costela-de-adao.html,http://s3.amazonaws.com/img.iluria.com/product/6604F2/FB57B9/450xN.jpg,,Brinco Costela De Adão,Brinco,35.00 BRL,,,"Dias da Cruz, 286, Rio de Janeiro, Rio de Janeiro, 20720-012",,,http://www.ddivas.com.br/pd-6604f2-brinco-costela-de-adao.html
"# Specs: (note rows starting with ""# "" will be ignored)",,,,,,,,,,,,,,
# ID: Required (Primary Key) | String. Any sequence of letters and digits. | The combination of ID and ID2 should be unique across all feeds in your account.,,,,,,,,,,,,,,
# ID2: Optional (Secondary Key) | String. Any sequence of letters and digits. | The combination of ID and ID2 should be unique across all feeds in your account.,,,,,,,,,,,,,,
# Item title: Required | String. Any sequence of letters and digits. | Can be displayed in ad. Recommended maximum length is 25 characters (12 for double-width languages).,,,,,,,,,,,,,,
"# Final URL: Recommended; Required if not using Destination URL | Same domain as your website, begins with ""http://"" or ""https://"" | The URL of the page in your website that people reach when they click your ad",,,,,,,,,,,,,,
"# Image URL: Recommended | Format: JPG, JPEG, GIF, or PNG | if JPG, JPEG, or GIF must be used, image must be saved in RGB color code with an ICC profile attached to it. Recommended image size: 300 pixels x 300 pixels. Resolution: 72 dpi. Max file size: 12MB | Image used in ad",,,,,,,,,,,,,,
# Item subtitle: Recommended | String. Any sequence of letters and digits. | Can be displayed in ad. Recommended maximum length is 25 characters (12 for double-width languages).,,,,,,,,,,,,,,
# Item description: Recommended | String. Any sequence of letters and digits. | Can be displayed in ad. Recommended maximum length is 25 characters (12 for double-width languages).,,,,,,,,,,,,,,
# Item category: Recommended | String. Any sequence of letters and digits. | Used to group like items together for recommendation engine,,,,,,,,,,,,,,
"# Price: Recommended | Number followed by the currency code, ISO 4217 standard. Use ""."" as the decimal mark. | Price shown in ad",,,,,,,,,,,,,,
"# Sale price: Recommended | Number followed by the currency code, ISO 4217 standard. Use ""."" as the decimal mark. | If used, Sales price shown in ad, Price struck out or omitted in ad",,,,,,,,,,,,,,
"# Contextual keywords: Recommended | String list. Any sequence of letters and digits separated by "";"" | If used, this column will be used as a contextual signal in the recommendation engine",,,,,,,,,,,,,,
"# Item address: Recommended | Recommended canonical names at https://developers.google.com/ad-exchange/rtb/geotargeting. Use commas to separate all components of your address (e.g., country, state code, city). Valid Addresses include: 1) City, state code, country, 2) Full address with zip code, and 3) Latitude-longitude in the DDD.DDDDD format (e.g. ""41.40338, 2.12403"") | If used, proximity to the user is used as a secondary signal",,,,,,,,,,,,,,
"# Tracking template: Optional; use only with Final URL, not compatible with Destination URL | The URL you want people to go through before reaching your landing page. This can include any ValueTrack parameters, custom parameters or tracking that you'd like to have on your ad URL | If you want to add tracking, use this as a template for the URL of your ad. We recommend setting this at the account, campaign, or ad group level for simpler management",,,,,,,,,,,,,,
"# Custom parameter: Optional; use only with Final URL, not compatible with Destination URL | String. Up to 3 per row, consisting of a key (""{_model}"") and a value (""CarModel"") that do not exceed 16 and 200 bytes (or English characters) each | Special tags you can add to your final URLs and tracking templates so that the URL can include information on the specific feed item that was used",,,,,,,,,,,,,,
"# Final mobile URL: Optional | Same domain as your website, begins with http://"" or ""https://"" | The URL of the mobile page in your website that people reach when they click your ad from mobile devices""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
