Day	Ad Name	Delivery Status	Delivery Level	Campaign Name	Ad Set Name	Reach	Impressions	Clicks (All)	Unique Link Clicks	Amount Spent (BRL)	CPC (All)	Reporting Starts	Reporting Ends
7/15/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	44	54	1	1	0.06	0.06	7/15/2019	7/15/2019
7/17/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	12	14	0		0.01		7/17/2019	7/17/2019
7/12/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	34	36	0		0.07		7/12/2019	7/12/2019
7/21/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	13	18	0		0.03		7/21/2019	7/21/2019
7/9/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	7	8	0		0.01		7/9/2019	7/9/2019
7/16/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	36	39	0		0.06		7/16/2019	7/16/2019
7/13/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	14	16	0		0.01		7/13/2019	7/13/2019
7/14/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 1 - Copy	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands (SP)	17	18	0		0.09		7/14/2019	7/14/2019
8/3/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 5 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	123	123	2		0.39	0.195	8/3/2019	8/3/2019
7/16/2019	Publicação do Instagram: ??Olha que coisa mais...	not_delivering	ad	Publicação do Instagram: ??Olha que coisa mais...	Publicação do Instagram: ??Olha que coisa mais...	314	317	2	1	1.76	0.88	7/16/2019	7/16/2019
6/26/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 5 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	14	17	0		0.04		6/26/2019	6/26/2019
5/30/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	101	101	5	3	0.7	0.14	5/30/2019	5/30/2019
6/1/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	145	148	3	3	0.75	0.25	6/1/2019	6/1/2019
5/26/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	46	46	3	2	0.32	0.10666667	5/26/2019	5/26/2019
5/23/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	83	83	4	2	0.61	0.1525	5/23/2019	5/23/2019
5/21/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	86	86	1		0.58	0.58	5/21/2019	5/21/2019
6/4/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	97	98	6	4	0.47	0.07833333	6/4/2019	6/4/2019
